id,process,time
Op_J1_S1,M2,26.0
Op_J1_S2,M13,67.0
Op_J1_S3,M1,72.0
Op_J1_S4,M7,74.0
Op_J1_S5,M15,13.0
Op_J1_S6,M9,43.0
Op_J1_S7,M5,30.0
Op_J1_S8,M4,19.0
Op_J1_S9,M11,23.0
Op_J1_S10,M12,85.0
Op_J1_S11,M6,98.0
Op_J1_S12,M14,43.0
Op_J1_S13,M3,38.0
Op_J1_S14,M8,8.0
Op_J1_S15,M10,75.0
Op_J2_S1,M15,42.0
Op_J2_S2,M1,39.0
Op_J2_S3,M5,55.0
Op_J2_S4,M13,46.0
Op_J2_S5,M2,19.0
Op_J2_S6,M9,93.0
Op_J2_S7,M10,80.0
Op_J2_S8,M6,26.0
Op_J2_S9,M11,7.0
Op_J2_S10,M7,50.0
Op_J2_S11,M12,57.0
Op_J2_S12,M4,73.0
Op_J2_S13,M3,9.0
Op_J2_S14,M8,61.0
Op_J2_S15,M14,72.0
Op_J3_S1,M4,96.0
Op_J3_S2,M5,99.0
Op_J3_S3,M13,34.0
Op_J3_S4,M7,60.0
Op_J3_S5,M8,43.0
Op_J3_S6,M15,7.0
Op_J3_S7,M14,12.0
Op_J3_S8,M9,11.0
Op_J3_S9,M12,70.0
Op_J3_S10,M11,43.0
Op_J3_S11,M1,91.0
Op_J3_S12,M2,68.0
Op_J3_S13,M10,11.0
Op_J3_S14,M6,68.0
Op_J3_S15,M3,72.0
Op_J4_S1,M15,63.0
Op_J4_S2,M12,45.0
Op_J4_S3,M5,49.0
Op_J4_S4,M2,74.0
Op_J4_S5,M9,27.0
Op_J4_S6,M1,30.0
Op_J4_S7,M10,72.0
Op_J4_S8,M8,9.0
Op_J4_S9,M13,99.0
Op_J4_S10,M14,60.0
Op_J4_S11,M6,69.0
Op_J4_S12,M7,69.0
Op_J4_S13,M3,84.0
Op_J4_S14,M4,40.0
Op_J4_S15,M11,59.0
Op_J5_S1,M3,91.0
Op_J5_S2,M1,75.0
Op_J5_S3,M10,98.0
Op_J5_S4,M4,17.0
Op_J5_S5,M11,72.0
Op_J5_S6,M14,31.0
